Name,Code,Population,Total_Words,Date,Time,Translated,Fuzzy,Untranslated
Arabic,ar,351664195,4807,N/A,20:23:45,0,0,4807
Bengali,bn,267193288,861,19452,20:23:45,37,1,823
Danish,da,7072056,5807,19138,20:23:45,1778,471,3558
German,de,136350226,5866,19409,20:23:45,5399,212,255
English,en,1636485035,6694,N/A,20:23:45,6694,0,0
English (United Kingdom),en_GB,64445878,1982,19492,20:23:45,175,0,1807
Spanish,es,493528078,4095,19518,20:23:45,2093,378,1624
Persian,fa,84710458,2906,19138,20:23:45,266,9,2631
French,fr,278611506,5866,19460,20:23:45,5808,40,18
Hindi,hi,545556054,873,19517,20:23:45,374,3,496
Hungarian,hu,12443429,591,19453,20:23:45,4,0,587
Indonesian,id,171207687,587,19389,20:23:45,1,0,586
Italian,it,70247059,5984,19234,20:23:45,5983,0,1
Japanese,ja,119729025,5748,19138,20:23:45,5005,361,382
Korean,ko,78357047,5866,19266,20:23:45,4498,199,1169
Lithuanian,lt,2488617,5866,19138,20:23:45,5677,86,103
Nepali,ne,20903374,889,19483,20:23:45,282,0,607
Norwegian Nynorsk,nn,1366860,2622,19138,20:23:45,1866,539,217
Polish,pl,41077398,5866,19138,20:23:45,5370,226,270
Portuguese (Brazil),pt_BR,192661560,5894,19463,20:23:45,3996,972,926
Russian,ru,195841151,5866,19138,20:23:45,5693,74,99
Albanian,sq,6791906,1170,19234,20:23:45,70,0,1100
Turkish,tr,80360705,4260,19138,20:23:45,1846,532,1882
Urdu,ur,290790290,587,19389,20:23:45,1,0,586
Chinese (Simplified),zh_Hans,1266066359,5810,19424,20:23:45,4906,444,460
Chinese (Traditional),zh_Hant,38612556,5866,19138,20:23:45,5368,220,278
