"","S.no","Library","Component","Language","Total_words","Translated","Untranslated","Fuzzy"
"1",1,"base (R GUI)","R","English",264,264,0,0
"2",2,"base (R GUI)","R","Danish",264,257,0,7
"3",3,"base (R GUI)","R","German",264,264,0,0
"4",4,"base (R GUI)","R","Spanish",264,264,0,0
"5",5,"base (R GUI)","R","Persian",264,256,0,8
"6",6,"base (R GUI)","R","French",264,258,0,6
"7",7,"base (R GUI)","R","Italian",264,264,0,0
"8",8,"base (R GUI)","R","Japanese",264,257,0,7
"9",9,"base (R GUI)","R","Korean",264,258,0,6
"10",10,"base (R GUI)","R","Lithuanian",264,258,0,6
"11",11,"base (R GUI)","R","Norwegian Nynorsk",264,256,0,8
"12",12,"base (R GUI)","R","Polish",264,258,0,6
"13",13,"base (R GUI)","R","Portuguese (Brazil)",264,256,0,8
"14",14,"base (R GUI)","R","Russian",264,264,0,0
"15",15,"base (R GUI)","R","Turkish",264,256,0,8
"16",16,"base (R GUI)","R","Chinese (Simplified)",264,264,0,0
"17",17,"base (R GUI)","R","Chinese (Traditional)",264,258,0,6
"18",18,"base (R GUI)","R","Arabic",264,0,264,0
"19",19,"base (R GUI)","R","Hindi",264,264,0,0
"20",20,"base (R GUI)","R","Nepali",264,264,0,0
"21",21,"base (R GUI)","R","Bengali",264,4,260,0
"22",1,"The R Project for Statistical Computing","English","English",86,86,0,0
"23",2,"The R Project for Statistical Computing","English","Danish",4,0,4,0
"24",3,"The R Project for Statistical Computing","English","German",4,4,0,0
"25",4,"The R Project for Statistical Computing","English","Spanish",14,14,0,0
"26",5,"The R Project for Statistical Computing","English","Persian",4,0,4,0
"27",6,"The R Project for Statistical Computing","English","French",4,3,1,0
"28",7,"The R Project for Statistical Computing","English","Italian",4,3,1,0
"29",8,"The R Project for Statistical Computing","English","Japanese",4,0,4,0
"30",9,"The R Project for Statistical Computing","English","Korean",4,3,1,0
"31",10,"The R Project for Statistical Computing","English","Lithuanian",4,0,4,0
"32",11,"The R Project for Statistical Computing","English","Norwegian Nynorsk",4,0,4,0
"33",12,"The R Project for Statistical Computing","English","Polish",4,0,4,0
"34",13,"The R Project for Statistical Computing","English","Portuguese (Brazil)",54,49,5,0
"35",14,"The R Project for Statistical Computing","English","Russian",4,0,4,0
"36",15,"The R Project for Statistical Computing","English","Turkish",4,0,4,0
"37",16,"The R Project for Statistical Computing","English","Chinese (Simplified)",4,0,4,0
"38",17,"The R Project for Statistical Computing","English","Chinese (Traditional)",4,0,4,0
"39",18,"The R Project for Statistical Computing","English","English (United Kingdom)",4,4,0,0
"40",19,"The R Project for Statistical Computing","English","Hungarian",4,1,3,0
"41",20,"The R Project for Statistical Computing","English","Arabic",4,0,4,0
"42",21,"The R Project for Statistical Computing","English","Albanian",4,0,4,0
"43",22,"The R Project for Statistical Computing","English","Hindi",26,26,0,0
"44",23,"The R Project for Statistical Computing","English","Indonesian",4,0,4,0
"45",24,"The R Project for Statistical Computing","English","Bengali",4,4,0,0
"46",25,"The R Project for Statistical Computing","English","Urdu",4,0,4,0
"47",26,"The R Project for Statistical Computing","English","Nepali",4,0,4,0
"48",1,"base (R files)","R","English",591,591,0,0
"49",2,"base (R files)","R","Danish",573,466,49,58
"50",3,"base (R files)","R","German",573,573,0,0
"51",4,"base (R files)","R","Persian",573,1,572,0
"52",5,"base (R files)","R","French",573,570,0,3
"53",6,"base (R files)","R","Italian",582,582,0,0
"54",7,"base (R files)","R","Japanese",573,467,49,57
"55",8,"base (R files)","R","Korean",573,390,156,27
"56",9,"base (R files)","R","Lithuanian",573,545,20,8
"57",10,"base (R files)","R","Norwegian Nynorsk",573,362,66,145
"58",11,"base (R files)","R","Polish",573,509,35,29
"59",12,"base (R files)","R","Portuguese (Brazil)",573,564,3,6
"60",13,"base (R files)","R","Russian",591,553,29,9
"61",14,"base (R files)","R","Turkish",573,4,551,18
"62",15,"base (R files)","R","Chinese (Simplified)",573,450,56,67
"63",16,"base (R files)","R","Chinese (Traditional)",573,509,35,29
"64",17,"base (R files)","R","Hungarian",573,0,573,0
"65",18,"base (R files)","R","Arabic",573,0,573,0
"66",19,"base (R files)","R","Albanian",573,33,540,0
"67",20,"base (R files)","R","Spanish",573,193,281,99
"68",21,"base (R files)","R","Indonesian",573,1,572,0
"69",22,"base (R files)","R","Bengali",573,26,546,1
"70",23,"base (R files)","R","Urdu",573,1,572,0
"71",1,"base (C files)","C","English",2258,2258,0,0
"72",2,"base (C files)","C","Danish",15,7,8,0
"73",3,"base (C files)","C","German",15,15,0,0
